title,year,rank_in_year,macro_categoria,animation_studios
Jashin-chan Dropkick,2018,75,Otros Géneros,Nomad
Back Street Girls: Gokudols,2018,76,Otros Géneros,J.C.STAFF
Dakaretai Otoko 1-i ni Odosarete Imasu.,2018,77,Otros Géneros,CloverWorks
Hakata Tonkotsu Ramens,2018,78,Fantasía / Acción / Aventura,Satelight
BEATLESS,2018,79,Híbrido (Acción + Sci-Fi),diomedéa
Miira no Kaikata,2018,80,Otros Géneros,8-bit
Shichisei no Subaru,2018,81,Híbrido (Acción + Sci-Fi),Lerche
ISLAND,2018,82,Sci-Fi / Mecha Puro,feel.
Ore ga Suki nano wa Imouto dakedo Imouto ja Nai,2018,83,Otros Géneros,"NAZ, Magia Doraglier"
Harukana Receive,2018,84,Otros Géneros,C2C
Chio-chan no Tsuugakuro,2018,85,Otros Géneros,diomedéa
Karakuri Circus,2018,86,Fantasía / Acción / Aventura,Unknown
Uchi no Maid ga Uzasugiru!,2018,87,Otros Géneros,Doga Kobo
Piano no Mori (TV),2018,88,Otros Géneros,Gaina
Tonari no Kyuuketsuki-san,2018,89,Otros Géneros,"Studio Gokumi, AXsiZ"
Mitsuboshi Colors,2018,90,Otros Géneros,SILVER LINK.
FLCL Alternative,2018,91,Híbrido (Acción + Sci-Fi),"Production I.G, NUT, REVOROOT"
Cardcaptor Sakura: Clear Card-hen,2018,92,Fantasía / Acción / Aventura,MADHOUSE
CONCEPTION,2018,93,Fantasía / Acción / Aventura,GONZO
Hinomaru-Zumou,2018,94,Fantasía / Acción / Aventura,GONZO
Beelzebub-jou no Oki ni Mesu Mama.,2018,95,Fantasía / Acción / Aventura,LIDENFILMS
Hisone to Maso-tan,2018,96,Fantasía / Acción / Aventura,bones
Slow Start,2018,97,Otros Géneros,CloverWorks
RELEASE THE SPYCE,2018,98,Fantasía / Acción / Aventura,Lay-duce
Ginga Eiyuu Densetsu: Die Neue These - Kaikou,2018,99,Híbrido (Acción + Sci-Fi),Production I.G
IDOLiSH7,2018,100,Otros Géneros,TROYCA
Kimetsu no Yaiba,2019,1,Fantasía / Acción / Aventura,"ufotable, ufotable"
Yakusoku no Neverland,2019,2,Fantasía / Acción / Aventura,CloverWorks
Shingeki no Kyojin Season 3 Part 2,2019,3,Fantasía / Acción / Aventura,"WIT STUDIO, Production I.G"
Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen,2019,4,Otros Géneros,A-1 Pictures
Dr. STONE,2019,5,Híbrido (Acción + Sci-Fi),TMS Entertainment
Boku no Hero Academia 4,2019,6,Híbrido (Acción + Sci-Fi),bones
VINLAND SAGA,2019,7,Fantasía / Acción / Aventura,"WIT STUDIO, Production I.G"
Enen no Shouboutai,2019,8,Híbrido (Acción + Sci-Fi),David Production
One Punch Man 2,2019,9,Híbrido (Acción + Sci-Fi),J.C.STAFF
Tate no Yuusha no Nariagari,2019,10,Fantasía / Acción / Aventura,Kinema Citrus
Mob Psycho 100 II,2019,11,Fantasía / Acción / Aventura,bones
Dororo,2019,12,Fantasía / Acción / Aventura,"MAPPA, Tezuka Productions"
Fruits Basket: 1st Season,2019,13,Otros Géneros,TMS Entertainment
Go-toubun no Hanayome,2019,14,Otros Géneros,Tezuka Productions
BEASTARS,2019,15,Otros Géneros,Orange
Kakegurui ××,2019,16,Otros Géneros,MAPPA
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,2019,17,Fantasía / Acción / Aventura,"J.C.STAFF, EGG FIRM"
Domestic na Kanojo,2019,18,Otros Géneros,diomedéa
Arifureta Shokugyou de Sekai Saikyou,2019,19,Fantasía / Acción / Aventura,"WHITE FOX, Asread"
Sword Art Online: Alicization - War of Underworld,2019,20,Fantasía / Acción / Aventura,A-1 Pictures
Given,2019,21,Otros Géneros,Lerche
Nanatsu no Taizai: Kamigami no Gekirin,2019,22,Fantasía / Acción / Aventura,"Studio DEEN, Marvy Jack"
Bungou Stray Dogs 3rd Season,2019,23,Fantasía / Acción / Aventura,bones
Shinchou Yuusha: Kono Yuusha ga Ore TUEEE Kuse ni Shinchou Sugiru,2019,24,Fantasía / Acción / Aventura,WHITE FOX
Kenja no Mago,2019,25,Fantasía / Acción / Aventura,SILVER LINK.
Shokugeki no Souma: Shin no Sara,2019,26,Otros Géneros,J.C.STAFF
Mairimashita! Iruma-kun,2019,27,Fantasía / Acción / Aventura,Bandai Namco Pictures
Ore wo Suki nano wa Omae dake ka yo,2019,28,Otros Géneros,CONNECT
Bokutachi wa Benkyou ga Dekinai,2019,29,Otros Géneros,"Studio Silver, Arvo Animation"
Dumbbell Nan Kilo Moteru?,2019,30,Otros Géneros,Doga Kobo
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,2019,31,Fantasía / Acción / Aventura,Ajiado
Date A Live III,2019,32,Híbrido (Acción + Sci-Fi),"J.C.STAFF, ENGI"
Assassins Pride,2019,33,Fantasía / Acción / Aventura,EMT Squared
Araburu Kisetsu no Otome-domo yo.,2019,34,Otros Géneros,Lay-duce
Sewayaki Kitsune no Senko-san,2019,35,Fantasía / Acción / Aventura,Doga Kobo
Carole & Tuesday,2019,36,Sci-Fi / Mecha Puro,bones
Kanata no Astra,2019,37,Híbrido (Acción + Sci-Fi),Lerche
Kono Oto Tomare!,2019,38,Otros Géneros,Platinum Vision
Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,2019,39,Otros Géneros,"GEEKTOYS, Seven"
Isekai Cheat Magician,2019,40,Fantasía / Acción / Aventura,Encourage Films
Karakai Jouzu no Takagi-san 2,2019,41,Otros Géneros,Shin-Ei Animation
Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki desu ka?,2019,42,Fantasía / Acción / Aventura,"J.C.STAFF, A.C.G.T."
Bokutachi wa Benkyou ga Dekinai!,2019,43,Otros Géneros,"Studio Silver, Arvo Animation"
Fate/Grand Order: Zettai Majuu Sensen Babylonia,2019,44,Fantasía / Acción / Aventura,CloverWorks
Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,2019,45,Fantasía / Acción / Aventura,project No.9
Hoshiai no Sora,2019,46,Otros Géneros,8-bit
"Maou-sama, Retry!",2019,47,Fantasía / Acción / Aventura,Unknown
Hitoribocchi no ○○ Seikatsu,2019,48,Otros Géneros,C2C
PSYCHO-PASS 3,2019,49,Híbrido (Acción + Sci-Fi),Production I.G
Boogiepop wa Warawanai,2019,50,Otros Géneros,MADHOUSE
Toaru Kagaku no Accelerator,2019,51,Híbrido (Acción + Sci-Fi),"J.C.STAFF, A.C.G.T."
"Watashi, Nouryoku wa Heikinchi de tte Itta yo ne!",2019,52,Fantasía / Acción / Aventura,project No.9
"Uchi no Ko no Tame Naraba, Ore wa Moshikashitara Maou mo Taoseru Kamo Shirenai.",2019,53,Fantasía / Acción / Aventura,Maho Film
Watashi ni Tenshi ga Maiorita!,2019,54,Otros Géneros,Doga Kobo
Machikado Mazoku,2019,55,Fantasía / Acción / Aventura,J.C.STAFF
No Guns Life,2019,56,Híbrido (Acción + Sci-Fi),"MADHOUSE, EGG FIRM"
Ahiru no Sora,2019,57,Otros Géneros,"diomedéa, NAMU Animation"
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",2019,58,Otros Géneros,Zero-G
Hataage! Kemono Michi,2019,59,Fantasía / Acción / Aventura,ENGI
Azur Lane,2019,60,Híbrido (Acción + Sci-Fi),Bibury Animation Studios
"Lord El-Melloi II-sei no Jikenbo: ""Rail Zeppelin"" Grace note",2019,61,Fantasía / Acción / Aventura,TROYCA
Babylon,2019,62,Otros Géneros,REVOROOT
Kono Oto Tomare! 2,2019,63,Otros Géneros,Platinum Vision
Sarazanmai,2019,64,Fantasía / Acción / Aventura,MAPPA
3D Kanojo: Real Girl 2,2019,65,Otros Géneros,Hoods Entertainment
Kono Yo no Hate de Koi wo Utau Shoujo YU-NO,2019,66,Híbrido (Acción + Sci-Fi),feel.
Fairy Gone,2019,67,Fantasía / Acción / Aventura,P.A.WORKS
Chihayafuru 3,2019,68,Otros Géneros,MADHOUSE
Naka no Hito Genome [Jikkyouchuu],2019,69,Híbrido (Acción + Sci-Fi),SILVER LINK.
Joshikousei no Mudazukai,2019,70,Otros Géneros,Passione
Gunjou no Magmell,2019,71,Fantasía / Acción / Aventura,"Studio Signpost, Studio Pierrot"
Katsute Kami Datta Kemono-tachi e,2019,72,Fantasía / Acción / Aventura,MAPPA
Cop Craft,2019,73,Híbrido (Acción + Sci-Fi),Millepensee
Hi Score Girl II,2019,74,Otros Géneros,J.C.STAFF
Pocket Monsters (2019),2019,75,Fantasía / Acción / Aventura,OLM
Radiant 2,2019,76,Fantasía / Acción / Aventura,Lerche
Val x Love,2019,77,Otros Géneros,Hoods Entertainment
Endro~!,2019,78,Fantasía / Acción / Aventura,"Studio Gokumi, EGG FIRM"
Mahou Shoujo Tokushusen Asuka,2019,79,Fantasía / Acción / Aventura,LIDENFILMS
Diamond no Ace act II,2019,80,Otros Géneros,MADHOUSE
Kabukichou Sherlock,2019,81,Otros Géneros,Production I.G
Girly Air Force,2019,82,Híbrido (Acción + Sci-Fi),Satelight
Shoumetsu Toshi,2019,83,Híbrido (Acción + Sci-Fi),MADHOUSE
Mayonaka no Occult Koumuin,2019,84,Fantasía / Acción / Aventura,LIDENFILMS
Granbelm,2019,85,Híbrido (Acción + Sci-Fi),Nexus
BEM,2019,86,Fantasía / Acción / Aventura,"LandQ studios, Production I.G"
Ensemble Stars!,2019,87,Otros Géneros,David Production
BanG Dream! 2nd Season,2019,88,Otros Géneros,"SANZIGEN, Passione, Creators in Pack"
Houkago Saikoro Club,2019,89,Otros Géneros,LIDENFILMS
GRANBLUE FANTASY The Animation Season 2,2019,90,Fantasía / Acción / Aventura,MAPPA
Senki Zesshou Symphogear XV,2019,91,Híbrido (Acción + Sci-Fi),Satelight
Meiji Tokyo Renka,2019,92,Otros Géneros,TMS Entertainment
Kandagawa JET GIRLS,2019,93,Otros Géneros,"TNK, EGG FIRM"
Piano no Mori 2 (TV),2019,94,Otros Géneros,Gaina
Chuubyou Gekihatsu Boy (TV),2019,95,Otros Géneros,Studio DEEN
Keishicho Tokumu-bu Tokushu Kyoaku-han Taisaku-Shitsu Dai-Nana-ka: Tokunana,2019,96,Fantasía / Acción / Aventura,NAZ
Rifle Is Beautiful,2019,97,Otros Géneros,Studio 3Hz
Fairy Gone 2,2019,98,Fantasía / Acción / Aventura,P.A.WORKS
Grimms Notes The Animation,2019,99,Fantasía / Acción / Aventura,Brain's Base
Fukigen na Mononokean Tsuzuki,2019,100,Otros Géneros,Studio Signpost
Jujutsu Kaisen,2020,1,Fantasía / Acción / Aventura,MAPPA
Kaguya-sama wa Kokurasetai?: Tensaitachi no Renai Zunousen,2020,2,Otros Géneros,A-1 Pictures
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,2020,3,Fantasía / Acción / Aventura,WHITE FOX
Kami no Tou: Tower of God,2020,4,Fantasía / Acción / Aventura,Telecom Animation Film
"Kanojo, Okarishimasu",2020,5,Otros Géneros,TMS Entertainment
THE GOD OF HIGH SCHOOL,2020,6,Fantasía / Acción / Aventura,MAPPA
Enen no Shouboutai: Ni no Shou,2020,7,Híbrido (Acción + Sci-Fi),David Production
Haikyuu!! TO THE TOP,2020,8,Otros Géneros,Production I.G
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",2020,9,Fantasía / Acción / Aventura,SILVER LINK.
Haikyuu!! TO THE TOP 2,2020,10,Otros Géneros,Production I.G
Jibaku Shounen Hanako-kun,2020,11,Fantasía / Acción / Aventura,Lerche
Tonikaku Kawaii,2020,12,Otros Géneros,Seven Arcs
Yahari Ore no Seishun Love Come wa Machigatteiru. Kan,2020,13,Otros Géneros,feel.
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,2020,14,Fantasía / Acción / Aventura,"J.C.STAFF, EGG FIRM"
Sword Art Online: Alicization - War of Underworld Part 2,2020,15,Fantasía / Acción / Aventura,"A-1 Pictures, EGG FIRM"
Fruits Basket: 2nd Season,2020,16,Otros Géneros,TMS Entertainment
Dorohedoro,2020,17,Fantasía / Acción / Aventura,MAPPA
Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,2020,18,Fantasía / Acción / Aventura,SILVER LINK.
Darwin's Game,2020,19,Híbrido (Acción + Sci-Fi),Nexus
Fugou Keiji: Balance:UNLIMITED,2020,20,Híbrido (Acción + Sci-Fi),CloverWorks
Akudama Drive,2020,21,Híbrido (Acción + Sci-Fi),Studio Pierrot
Kyokou Suiri,2020,22,Otros Géneros,Brain's Base
Yuukoku no Moriarty,2020,23,Otros Géneros,Production I.G
Gleipnir,2020,24,Fantasía / Acción / Aventura,PINE JAM
Majo no Tabitabi,2020,25,Fantasía / Acción / Aventura,C2C
Shokugeki no Souma: Gou no Sara,2020,26,Otros Géneros,J.C.STAFF
Uzaki-chan wa Asobitai!,2020,27,Otros Géneros,ENGI
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta…,2020,28,Fantasía / Acción / Aventura,SILVER LINK.
Plunderer,2020,29,Fantasía / Acción / Aventura,GEEKTOYS
ID: INVADED,2020,30,Sci-Fi / Mecha Puro,NAZ
Munou na Nana,2020,31,Otros Géneros,Bridge
Eizouken ni wa Te wo Dasu na!,2020,32,Fantasía / Acción / Aventura,Science SARU
Mahouka Koukou no Rettousei: Raihousha-hen,2020,33,Híbrido (Acción + Sci-Fi),8-bit
Ishuzoku Reviewers,2020,34,Fantasía / Acción / Aventura,Passione
Kakushigoto,2020,35,Otros Géneros,Ajiado
"Kimi to Boku no Saigo no Senjo, Arui wa Sekai ga Hajimaru Seisen",2020,36,Fantasía / Acción / Aventura,SILVER LINK.
Deca-Dence,2020,37,Híbrido (Acción + Sci-Fi),NUT
Yesterday wo Utatte,2020,38,Otros Géneros,"Doga Kobo, DMM.futureworks"
Somali to Mori no Kamisama,2020,39,Fantasía / Acción / Aventura,"Satelight, HORNETS"
Princess Connect! Re:Dive,2020,40,Fantasía / Acción / Aventura,CygamesPictures
NOBLESSE,2020,41,Fantasía / Acción / Aventura,"Production I.G, TYPHOON GRAPHICS"
Kamisama ni Natta Hi,2020,42,Sci-Fi / Mecha Puro,P.A.WORKS
100-man no Inochi no Ue ni Ore wa Tatteiru,2020,43,Fantasía / Acción / Aventura,Maho Film
Higurashi no Naku Koro ni Gou,2020,44,Otros Géneros,"Passione, Creators in Pack"
"Hachi-nan tte, Sore wa Nai deshou!",2020,45,Fantasía / Acción / Aventura,"SynergySP, Shin-Ei Animation"
Adachi to Shimamura,2020,46,Otros Géneros,Tezuka Productions
Maou-jou de Oyasumi,2020,47,Fantasía / Acción / Aventura,Doga Kobo
Kamitachi ni Hirowareta Otoko,2020,48,Fantasía / Acción / Aventura,Maho Film
Toaru Kagaku no Railgun T,2020,49,Híbrido (Acción + Sci-Fi),J.C.STAFF
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,2020,50,Fantasía / Acción / Aventura,Ajiado
Monster Musume no Oisha-san,2020,51,Fantasía / Acción / Aventura,Arvo Animation
Kuma Kuma Kuma Bear,2020,52,Fantasía / Acción / Aventura,EMT Squared
Nekopara,2020,53,Otros Géneros,Felix Film
Murenase! Seton Gakuen,2020,54,Otros Géneros,Studio Gokumi
Infinite Dendrogram,2020,55,Fantasía / Acción / Aventura,NAZ
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden,2020,56,Otros Géneros,Shaft
Golden Kamuy 3rd Season,2020,57,Fantasía / Acción / Aventura,Geno Studio
Dokyuu Hentai HxEros,2020,58,Fantasía / Acción / Aventura,project No.9
Appare-Ranman!,2020,59,Fantasía / Acción / Aventura,P.A.WORKS
Arte,2020,60,Otros Géneros,Seven Arcs
Ikebukuro West Gate Park,2020,61,Otros Géneros,Doga Kobo
Runway de Waratte,2020,62,Otros Géneros,Unknown
Koisuru Asteroid,2020,63,Otros Géneros,Doga Kobo
Hanyou no Yashahime,2020,64,Fantasía / Acción / Aventura,Sunrise
Assault Lily: BOUQUET,2020,65,Fantasía / Acción / Aventura,Shaft
Iwa Kakeru!: Sport Climbing Girls,2020,66,Otros Géneros,"BLADE, WIT STUDIO, Studio Massket"
Love Live! Nijigasaki Gakuen School Idol Doukoukai,2020,67,Otros Géneros,Sunrise
pet,2020,68,Otros Géneros,"Geno Studio, Asahi Production"
Shironeko Project: ZERO CHRONICLE,2020,69,Fantasía / Acción / Aventura,project No.9
Tsugu Tsugumomo,2020,70,Fantasía / Acción / Aventura,Zero-G
Nami yo Kiitekure,2020,71,Otros Géneros,Sunrise
Houkago Teibou Nisshi,2020,72,Otros Géneros,Doga Kobo
Hypnosis Mic -Division Rap Battle- Rhyme Anima,2020,73,Híbrido (Acción + Sci-Fi),A-1 Pictures
Kingdom 3rd Season,2020,74,Fantasía / Acción / Aventura,"Studio Signpost, Studio Pierrot"
LISTENERS,2020,75,Híbrido (Acción + Sci-Fi),MAPPA
Taisou Zamurai,2020,76,Otros Géneros,MAPPA
No Guns Life 2,2020,77,Híbrido (Acción + Sci-Fi),"MADHOUSE, EGG FIRM"
Dragon Quest: Dai no Daibouken (2020),2020,78,Fantasía / Acción / Aventura,Toei Animation
King's Raid: Ishi wo Tsugumonotachi,2020,79,Fantasía / Acción / Aventura,"OLM, Sunrise Beyond"
Gochuumon wa Usagi desu ka? BLOOM,2020,80,Otros Géneros,Encourage Films
Majutsushi Orphen Hagure Tabi,2020,81,Fantasía / Acción / Aventura,Studio DEEN
number24,2020,82,Otros Géneros,PRA
Digimon Adventure:,2020,83,Híbrido (Acción + Sci-Fi),"Toei Animation, Studio Gallop"
Housekishou Richard-shi no Nazo Kantei,2020,84,Otros Géneros,Shuka
Koi to Producer: EVOL×LOVE,2020,85,Sci-Fi / Mecha Puro,MAPPA
Gibiate,2020,86,Fantasía / Acción / Aventura,"l-a-unch・BOX, Studio elle"
Boku no Tonari ni Ankoku Hakaishin ga Imasu.,2020,87,Otros Géneros,EMT Squared
22/7,2020,88,Otros Géneros,A-1 Pictures
D4DJ First Mix,2020,89,Otros Géneros,SANZIGEN
Lapis Re:LiGHTs,2020,90,Fantasía / Acción / Aventura,Unknown
Oshi ga Budoukan Ittekuretara Shinu,2020,91,Otros Géneros,8-bit
Senyoku no Sigrdrifa,2020,92,Fantasía / Acción / Aventura,A-1 Pictures
Ochikobore Fruit Tart,2020,93,Otros Géneros,feel.
Bungou to Alchemist: Shinpan no Haguruma,2020,94,Fantasía / Acción / Aventura,OLM
BanG Dream! 3rd Season,2020,95,Otros Géneros,SANZIGEN
Hatena☆Illusion,2020,96,Otros Géneros,Children's Playground Entertainment
Gal to Kyouryuu,2020,97,Otros Géneros,"Space Neko Company, Kamikaze Douga"
Tamayomi,2020,98,Otros Géneros,Unknown
"Shachou, Battle no Jikan desu!",2020,99,Fantasía / Acción / Aventura,C2C
A3! SEASON SPRING ＆ SUMMER,2020,100,Otros Géneros,"Studio 3Hz, P.A.WORKS"
Shingeki no Kyojin: The Final Season,2021,1,Fantasía / Acción / Aventura,"MAPPA, Production I.G, MAPPA"
Horimiya,2021,2,Otros Géneros,CloverWorks
Tokyo Revengers,2021,3,Fantasía / Acción / Aventura,LIDENFILMS
Mushoku Tensei: Isekai Ittara Honki Dasu,2021,4,Fantasía / Acción / Aventura,"Studio Bind, EGG FIRM"
Boku no Hero Academia 5,2021,5,Híbrido (Acción + Sci-Fi),bones
Kimetsu no Yaiba: Mugen Ressha-hen (TV),2021,6,Fantasía / Acción / Aventura,"ufotable, ufotable"
Dr. STONE: STONE WARS,2021,7,Híbrido (Acción + Sci-Fi),TMS Entertainment
Yakusoku no Neverland 2,2021,8,Fantasía / Acción / Aventura,CloverWorks
Fumetsu no Anata e,2021,9,Fantasía / Acción / Aventura,Brain's Base
"Komi-san wa, Komyushou desu.",2021,10,Otros Géneros,OLM
Tensei Shitara Slime Datta Ken 2nd Season,2021,11,Fantasía / Acción / Aventura,8-bit
86: Eighty Six,2021,12,Híbrido (Acción + Sci-Fi),A-1 Pictures
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,2021,13,Fantasía / Acción / Aventura,"Studio Bind, EGG FIRM"
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,2021,14,Fantasía / Acción / Aventura,WHITE FOX
Wonder Egg Priority,2021,15,Híbrido (Acción + Sci-Fi),CloverWorks
"Ijiranaide, Nagatoro-san",2021,16,Otros Géneros,Telecom Animation Film
Tensei Shitara Slime Datta Ken 2nd Season Part 2,2021,17,Fantasía / Acción / Aventura,8-bit
SK∞,2021,18,Fantasía / Acción / Aventura,bones
Go-toubun no Hanayome ∬,2021,19,Otros Géneros,Bibury Animation Studios
Ousama Ranking,2021,20,Fantasía / Acción / Aventura,WIT STUDIO
Vanitas no Carte,2021,21,Fantasía / Acción / Aventura,bones
"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",2021,22,Fantasía / Acción / Aventura,"SILVER LINK., Studio Palette"
Hige wo Soru. Soshite Joshikousei wo Hirou.,2021,23,Otros Géneros,project No.9
86: Eighty Six Part 2,2021,24,Híbrido (Acción + Sci-Fi),A-1 Pictures
Vivy: Fluorite Eye’s Song,2021,25,Híbrido (Acción + Sci-Fi),WIT STUDIO
Fruits Basket: The Final,2021,26,Otros Géneros,TMS Entertainment
takt op.Destiny,2021,27,Fantasía / Acción / Aventura,"MADHOUSE, MAPPA"
Kobayashi-san Chi no Maidragon S,2021,28,Fantasía / Acción / Aventura,"Kyoto Animation, Kyoto Animation"
Mieruko-chan,2021,29,Otros Géneros,Passione
Tsuki ga Michibiku Isekai Douchuu,2021,30,Fantasía / Acción / Aventura,"C2C, AQUA ARIS"
Odd Taxi,2021,31,Otros Géneros,"OLM, P.I.C.S."
"Kumo desu ga, Nani ka?",2021,32,Fantasía / Acción / Aventura,"Millepensee, exsa"
Kaifuku Jutsushi no Yarinaoshi,2021,33,Fantasía / Acción / Aventura,TNK
BEASTARS 2nd Season,2021,34,Otros Géneros,Orange
Jaku-Chara Tomozaki-kun,2021,35,Otros Géneros,project No.9
Nanatsu no Taizai: Funnu no Shinpan,2021,36,Fantasía / Acción / Aventura,"Studio DEEN, Marvy Jack"
"Slime Taoshite 300-nen, Shiranai Uchi ni Level MAX ni Nattemashita",2021,37,Fantasía / Acción / Aventura,REVOROOT
Sonny Boy,2021,38,Sci-Fi / Mecha Puro,MADHOUSE
Seirei Gensouki,2021,39,Fantasía / Acción / Aventura,"TMS Entertainment, WAO World"
Genjitsu Shugi Yuusha no Oukoku Saikenki,2021,40,Fantasía / Acción / Aventura,J.C.STAFF
Platinum End,2021,41,Otros Géneros,"Signal.MD, Studio Pierrot"
Kanojo mo Kanojo,2021,42,Otros Géneros,Tezuka Productions
Kemono Jihen,2021,43,Fantasía / Acción / Aventura,Ajiado
"Tantei wa mou, Shindeiru.",2021,44,Otros Géneros,ENGI
Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω,2021,45,Fantasía / Acción / Aventura,"Tezuka Productions, Okuruto Noboru"
Ore dake Haireru Kakushi Dungeon,2021,46,Fantasía / Acción / Aventura,Okuruto Noboru
"Sentouin, Hakenshimasu!",2021,47,Híbrido (Acción + Sci-Fi),J.C.STAFF
"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni shimashita",2021,48,Fantasía / Acción / Aventura,WolfsBane
Senpai ga Uzai Kouhai no Hanashi,2021,49,Otros Géneros,Doga Kobo
Bokutachi no Remake,2021,50,Otros Géneros,feel.
Saihate no Paladin,2021,51,Fantasía / Acción / Aventura,Children's Playground Entertainment
Shadows House,2021,52,Fantasía / Acción / Aventura,CloverWorks
Mairimashita! Iruma-kun 2,2021,53,Fantasía / Acción / Aventura,Bandai Namco Pictures
Tensei Shitara Slime Datta Ken: Tensura Nikki,2021,54,Fantasía / Acción / Aventura,8-bit
Hataraku Saibou!!,2021,55,Híbrido (Acción + Sci-Fi),David Production
Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari,2021,56,Fantasía / Acción / Aventura,LIDENFILMS
EDENS ZERO,2021,57,Híbrido (Acción + Sci-Fi),"J.C.STAFF, A.C.G.T."
Uramichi Oniisan,2021,58,Otros Géneros,Studio Blanc
Osananajimi ga Zettai ni Makenai Love Come,2021,59,Otros Géneros,Doga Kobo
Jahy-sama wa Kujikenai!,2021,60,Fantasía / Acción / Aventura,SILVER LINK.
Yuukoku no Moriarty Part 2,2021,61,Otros Géneros,Production I.G
Shinigami Bocchan to Kuro Maid,2021,62,Otros Géneros,J.C.STAFF
Kyuukyoku Shinka Shita Full Dive RPG ga Genjitsu yori mo Kusogee Dattara,2021,63,Fantasía / Acción / Aventura,ENGI
Yuru Camp△ SEASON 2,2021,64,Otros Géneros,C-Station
SHAMAN KING (2021),2021,65,Fantasía / Acción / Aventura,Bridge
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta… X,2021,66,Fantasía / Acción / Aventura,SILVER LINK.
Seijo no Maryoku wa Bannou desu,2021,67,Fantasía / Acción / Aventura,diomedéa
Zombie Land Saga: Revenge,2021,68,Otros Géneros,MAPPA
Meikyuu Black Company,2021,69,Fantasía / Acción / Aventura,SILVER LINK.
Kaizoku Oujo,2021,70,Fantasía / Acción / Aventura,Production I.G
Deatte 5-byou de Battle,2021,71,Fantasía / Acción / Aventura,SynergySP
Log Horizon: Entaku Houkai,2021,72,Fantasía / Acción / Aventura,Studio DEEN
Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,2021,73,Fantasía / Acción / Aventura,"Children's Playground Entertainment, Hotline, feel."
Hataraku Saibou BLACK,2021,74,Híbrido (Acción + Sci-Fi),LIDENFILMS
Megami-ryou no Ryoubo-kun.,2021,75,Otros Géneros,Asread
Shiroi Suna no Aquatope,2021,76,Otros Géneros,"P.A.WORKS, AQUA ARIS"
Heion Sedai no Idaten-tachi,2021,77,Fantasía / Acción / Aventura,MAPPA
Peach Boy Riverside,2021,78,Fantasía / Acción / Aventura,"Asahi Production, AQUA ARIS"
NOMAD: Megalo Box 2,2021,79,Híbrido (Acción + Sci-Fi),TMS Entertainment
Tsuki to Laika to Nosferatu,2021,80,Sci-Fi / Mecha Puro,Arvo Animation
SSSS.DYNAZENON,2021,81,Híbrido (Acción + Sci-Fi),"TRIGGER, Graphinica, Tsuburaya Productions"
Taishou Otome Otogibanashi,2021,82,Otros Géneros,SynergySP
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,2021,83,Fantasía / Acción / Aventura,Maho Film
RE-MAIN,2021,84,Otros Géneros,MAPPA
Bishounen Tanteidan,2021,85,Sci-Fi / Mecha Puro,Shaft
Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,2021,86,Fantasía / Acción / Aventura,EMT Squared
Ura Sekai Picnic,2021,87,Híbrido (Acción + Sci-Fi),"LIDENFILMS, Felix Film"
Super Cub,2021,88,Otros Géneros,Studio KAI
Mashiro no Oto,2021,89,Otros Géneros,Shin-Ei Animation
2.43: Seiin Koukou Danshi Volley-bu,2021,90,Otros Géneros,David Production
MARS RED,2021,91,Híbrido (Acción + Sci-Fi),Signal.MD
World Trigger 2nd Season,2021,92,Híbrido (Acción + Sci-Fi),Toei Animation
Uma Musume: Pretty Derby Season 2,2021,93,Otros Géneros,"Studio KAI, P.A.WORKS"
Bakuten!!,2021,94,Otros Géneros,"ZEXCS, Buemon"
Non Non Biyori: Nonstop,2021,95,Otros Géneros,SILVER LINK.
